שנה,סעיף מוביל,מספר בקשה,תיאור בקשה,קוד שינוי,שם שינוי,קוד סוג בקשה,שם סוג בקשה,מספר וועדה,קוד תוכנית,שם תוכנית,הוצאות נטו,הוצאה מותנית בהכנסה,הכנסה מיועדת,הרשאה להתחייב,שיא כא
2007,60,002,"תוספת צפון דרון 60 מלש""ח",9,מרזרבה כללית,2,אישור ועדה,79,600210,בניית כיתות לימוד,"60,000",0,0,120000,0
2007,60,003,העברה לפיקוד העורף - מיגון,8,לרזרבה כללית,2,אישור ועדה,112,470101,רזרבה כללית,6000,0,0,0,0
2007,60,003,העברה לפיקוד העורף - מיגון,8,לרזרבה כללית,2,אישור ועדה,112,600210,בניית כיתות לימוד,-6000,0,0,0,0
2007,60,004,מיגון בעוטף עזה,7,שינוי פנימי,1,אישור אגף,0,600210,בניית כיתות לימוד,0,0,0,0,0
2007,60,005,פיתוח - עודפים מחוייבים,5,עודפים,3,הודעה לועדה,0,600210,בניית כיתות לימוד,"135,143",0,0,0,0
2007,60,005,פיתוח - עודפים מחוייבים,5,עודפים,3,הודעה לועדה,0,600215,תשתיות היקפיות למבני,"10,369",0,0,0,0
2007,60,005,פיתוח - עודפים מחוייבים,5,עודפים,3,הודעה לועדה,0,600301,מענקים להצטידות,74,0,0,0,0
2007,60,005,פיתוח - עודפים מחוייבים,5,עודפים,3,הודעה לועדה,0,600601,חידוש מבנים במערכת,52724,0,0,0,0
2007,60,005,פיתוח - עודפים מחוייבים,5,עודפים,3,הודעה לועדה,0,600701,פיתוח מכללות להכשרת,3163,0,0,0,0
2007,60,005,פיתוח - עודפים מחוייבים,5,עודפים,3,הודעה לועדה,0,600901,רזרבה ליישום מסקנות כח,6447,0,0,0,0
2007,60,006,החלטת ממשלה לפיתוח הנגב,7,שינוי פנימי,1,אישור אגף,0,600210,בניית כיתות לימוד,0,0,0,0,0
2007,60,007,"הקדמת 20 מלש""ח בהרשאות",7,שינוי פנימי,2,אישור ועדה,178,600210,בניית כיתות לימוד,0,0,0,-20000,0
2007,60,007,"הקדמת 20 מלש""ח בהרשאות",7,שינוי פנימי,2,אישור ועדה,178,600601,חידוש מבנים במערכת,0,0,0,20000,0
2007,60,008,פיתוח - התאמות בתקנות,7,שינוי פנימי,1,אישור אגף,0,600210,בניית כיתות לימוד,0,0,0,0,0
2007,60,009,שינויים פנימיים - פיתוח,7,שינוי פנימי,1,אישור אגף,0,600210,בניית כיתות לימוד,0,0,0,0,0
2007,60,009,שינויים פנימיים - פיתוח,7,שינוי פנימי,1,אישור אגף,0,600601,חידוש מבנים במערכת,0,0,0,0,0
2007,60,010,"השתתפות בבריאות- בית הספר לחנ""מ בבית חול",8,לרזרבה כללית,2,אישור ועדה,517,470101,רזרבה כללית,0,0,0,9847,0
2007,60,010,"השתתפות בבריאות- בית הספר לחנ""מ בבית חול",8,לרזרבה כללית,2,אישור ועדה,517,600210,בניית כיתות לימוד,2500,0,0,-13347,0
2007,60,010,"השתתפות בבריאות- בית הספר לחנ""מ בבית חול",8,לרזרבה כללית,2,אישור ועדה,517,600215,תשתיות היקפיות למבני,"-2,500",0,0,-2500,0
2007,60,010,"השתתפות בבריאות- בית הספר לחנ""מ בבית חול",8,לרזרבה כללית,2,אישור ועדה,517,600601,חידוש מבנים במערכת,0,0,0,6000,0
2007,60,011,מיגון שדרות,8,לרזרבה כללית,2,אישור ועדה,594,470101,רזרבה כללית,"13,000",0,0,0,0
